# XAU Trend Capture v1 - news calendar (UTC/GMT)
# Generated: 2026-06-11 10:30 UTC
# Range: 2015-2025
# Format: YYYY.MM.DD HH:MM;TAG
# Tags: NFP=Non-Farm Payrolls, FOMC=Fed decision, CPI=US CPI,
#        RATE=ECB/BOE rate decision
# DATA QUALITY: FOMC=high(hardcoded), NFP=good(algo,~92%),
#   CPI/RATE=estimate(verify vs investing.com for precise backtest)
2018.07.25 18:00;FOMC
2018.07.26 13:15;RATE
2018.08.02 12:00;RATE
2018.08.03 12:30;NFP
2018.08.08 12:30;CPI
2018.09.07 12:30;NFP
2018.09.12 12:30;CPI
2018.09.13 12:00;RATE
2018.09.13 13:15;RATE
2018.09.26 18:00;FOMC
2018.10.05 12:30;NFP
2018.10.10 12:30;CPI
2018.10.25 13:15;RATE
2018.11.01 12:00;RATE
2018.11.02 12:30;NFP
2018.11.08 19:00;FOMC
2018.11.14 13:30;CPI
2018.12.07 13:30;NFP
2018.12.12 13:30;CPI
2018.12.13 13:15;RATE
2018.12.19 19:00;FOMC
2018.12.20 12:00;RATE
2019.01.04 13:30;NFP
2019.01.09 13:30;CPI
2019.01.24 13:15;RATE
2019.01.30 19:00;FOMC
2019.02.01 13:30;NFP
2019.02.07 12:00;RATE
2019.02.13 13:30;CPI
2019.03.01 13:30;NFP
2019.03.07 13:15;RATE
2019.03.13 12:30;CPI
2019.03.20 18:00;FOMC
2019.03.21 12:00;RATE
2019.04.05 12:30;NFP
2019.04.10 12:30;CPI
2019.04.10 13:15;RATE
2019.05.01 18:00;FOMC
2019.05.02 12:00;RATE
2019.05.03 12:30;NFP
2019.05.08 12:30;CPI
2019.06.06 13:15;RATE
2019.06.07 12:30;NFP
2019.06.12 12:30;CPI
2019.06.19 18:00;FOMC
2019.06.20 12:00;RATE
2019.07.05 12:30;NFP
2019.07.10 12:30;CPI
2019.07.25 13:15;RATE
2019.07.31 18:00;FOMC
2019.08.01 12:00;RATE
2019.08.02 12:30;NFP
2019.08.14 12:30;CPI
2019.09.06 12:30;NFP
2019.09.11 12:30;CPI
2019.09.12 13:15;RATE
2019.09.18 18:00;FOMC
2019.09.19 12:00;RATE
2019.10.04 12:30;NFP
2019.10.09 12:30;CPI
2019.10.24 13:15;RATE
2019.10.30 18:00;FOMC
2019.11.01 12:30;NFP
2019.11.07 12:00;RATE
2019.11.13 13:30;CPI
2019.12.06 13:30;NFP
2019.12.11 13:30;CPI
2019.12.11 19:00;FOMC
2019.12.12 13:15;RATE
2019.12.19 12:00;RATE
2020.01.03 13:30;NFP
2020.01.08 13:30;CPI
2020.01.23 13:15;RATE
2020.01.29 19:00;FOMC
2020.01.30 12:00;RATE
2020.02.07 13:30;NFP
2020.02.12 13:30;CPI
2020.03.03 15:00;FOMC
2020.03.06 13:30;NFP
2020.03.11 12:00;RATE
2020.03.11 12:30;CPI
2020.03.12 13:15;RATE
2020.03.15 22:00;FOMC
2020.03.19 12:00;RATE
2020.04.03 12:30;NFP
2020.04.08 12:30;CPI
2020.04.29 18:00;FOMC
2020.04.30 13:15;RATE
2020.05.01 12:30;NFP
2020.05.07 12:00;RATE
2020.05.13 12:30;CPI
2020.06.04 13:15;RATE
2020.06.05 12:30;NFP
2020.06.10 12:30;CPI
2020.06.10 18:00;FOMC
2020.06.18 12:00;RATE
2020.07.03 12:30;NFP
2020.07.08 12:30;CPI
2020.07.16 13:15;RATE
2020.07.29 18:00;FOMC
2020.08.06 12:00;RATE
2020.08.07 12:30;NFP
2020.08.12 12:30;CPI
2020.09.04 12:30;NFP
2020.09.09 12:30;CPI
2020.09.10 13:15;RATE
2020.09.16 18:00;FOMC
2020.09.17 12:00;RATE
2020.10.02 12:30;NFP
2020.10.14 12:30;CPI
2020.10.29 13:15;RATE
2020.11.05 12:00;RATE
2020.11.05 19:00;FOMC
2020.11.06 13:30;NFP
2020.11.11 13:30;CPI
2020.12.04 13:30;NFP
2020.12.09 13:30;CPI
2020.12.10 13:15;RATE
2020.12.16 19:00;FOMC
2020.12.17 12:00;RATE
2021.01.01 13:30;NFP
2021.01.13 13:30;CPI
2021.01.21 13:15;RATE
2021.01.27 19:00;FOMC
2021.02.04 12:00;RATE
2021.02.05 13:30;NFP
2021.02.10 13:30;CPI
2021.03.05 13:30;NFP
2021.03.10 13:30;CPI
2021.03.11 13:15;RATE
2021.03.17 18:00;FOMC
2021.03.18 12:00;RATE
2021.04.02 12:30;NFP
2021.04.14 12:30;CPI
2021.04.22 13:15;RATE
2021.04.28 18:00;FOMC
2021.05.06 12:00;RATE
2021.05.07 12:30;NFP
2021.05.12 12:30;CPI
2021.06.04 12:30;NFP
2021.06.09 12:30;CPI
2021.06.10 13:15;RATE
2021.06.16 18:00;FOMC
2021.06.24 12:00;RATE
2021.07.02 12:30;NFP
2021.07.14 12:30;CPI
2021.07.22 13:15;RATE
2021.07.28 18:00;FOMC
2021.08.05 12:00;RATE
2021.08.06 12:30;NFP
2021.08.11 12:30;CPI
2021.09.03 12:30;NFP
2021.09.08 12:30;CPI
2021.09.09 13:15;RATE
2021.09.22 18:00;FOMC
2021.09.23 12:00;RATE
2021.10.01 12:30;NFP
2021.10.13 12:30;CPI
2021.10.28 13:15;RATE
2021.11.03 18:00;FOMC
2021.11.04 12:00;RATE
2021.11.05 12:30;NFP
2021.11.10 13:30;CPI
2021.12.03 13:30;NFP
2021.12.08 13:30;CPI
2021.12.15 19:00;FOMC
2021.12.16 12:00;RATE
2021.12.16 13:15;RATE
2022.01.07 13:30;NFP
2022.01.12 13:30;CPI
2022.01.26 19:00;FOMC
2022.02.03 12:00;RATE
2022.02.03 13:15;RATE
2022.02.04 13:30;NFP
2022.02.09 13:30;CPI
2022.03.04 13:30;NFP
2022.03.09 13:30;CPI
2022.03.10 13:15;RATE
2022.03.16 18:00;FOMC
2022.03.17 12:00;RATE
2022.04.01 12:30;NFP
2022.04.13 12:30;CPI
2022.04.14 13:15;RATE
2022.05.04 18:00;FOMC
2022.05.05 12:00;RATE
2022.05.06 12:30;NFP
2022.05.11 12:30;CPI
2022.06.03 12:30;NFP
2022.06.08 12:30;CPI
2022.06.09 13:15;RATE
2022.06.15 18:00;FOMC
2022.06.16 12:00;RATE
2022.07.01 12:30;NFP
2022.07.13 12:30;CPI
2022.07.21 13:15;RATE
2022.07.27 18:00;FOMC
2022.08.04 12:00;RATE
2022.08.05 12:30;NFP
2022.08.10 12:30;CPI
2022.09.02 12:30;NFP
2022.09.08 13:15;RATE
2022.09.14 12:30;CPI
2022.09.21 18:00;FOMC
2022.09.22 12:00;RATE
2022.10.07 12:30;NFP
2022.10.12 12:30;CPI
2022.10.27 13:15;RATE
2022.11.02 18:00;FOMC
2022.11.03 12:00;RATE
2022.11.04 12:30;NFP
2022.11.09 13:30;CPI
2022.12.02 13:30;NFP
2022.12.14 13:30;CPI
2022.12.14 19:00;FOMC
2022.12.15 12:00;RATE
2022.12.15 13:15;RATE
2023.01.06 13:30;NFP
2023.01.11 13:30;CPI
2023.02.01 19:00;FOMC
2023.02.02 12:00;RATE
2023.02.02 13:15;RATE
2023.02.03 13:30;NFP
2023.02.08 13:30;CPI
2023.03.03 13:30;NFP
2023.03.08 13:30;CPI
2023.03.16 13:15;RATE
2023.03.22 18:00;FOMC
2023.03.23 12:00;RATE
2023.04.07 12:30;NFP
2023.04.12 12:30;CPI
2023.05.03 18:00;FOMC
2023.05.04 13:15;RATE
2023.05.05 12:30;NFP
2023.05.10 12:30;CPI
2023.05.11 12:00;RATE
2023.06.02 12:30;NFP
2023.06.14 12:30;CPI
2023.06.14 18:00;FOMC
2023.06.15 13:15;RATE
2023.06.22 12:00;RATE
2023.07.07 12:30;NFP
2023.07.12 12:30;CPI
2023.07.26 18:00;FOMC
2023.07.27 13:15;RATE
2023.08.03 12:00;RATE
2023.08.04 12:30;NFP
2023.08.09 12:30;CPI
2023.09.01 12:30;NFP
2023.09.13 12:30;CPI
2023.09.14 13:15;RATE
2023.09.20 18:00;FOMC
2023.09.21 12:00;RATE
2023.10.06 12:30;NFP
2023.10.11 12:30;CPI
2023.10.26 13:15;RATE
2023.11.01 18:00;FOMC
2023.11.02 12:00;RATE
2023.11.03 12:30;NFP
2023.11.08 13:30;CPI
2023.12.01 13:30;NFP
2023.12.13 13:30;CPI
2023.12.13 19:00;FOMC
2023.12.14 12:00;RATE
2023.12.14 13:15;RATE
2024.01.05 13:30;NFP
2024.01.10 13:30;CPI
2024.01.25 13:15;RATE
2024.01.31 19:00;FOMC
2024.02.01 12:00;RATE
2024.02.02 13:30;NFP
2024.02.14 13:30;CPI
2024.03.01 13:30;NFP
2024.03.07 13:15;RATE
2024.03.13 12:30;CPI
2024.03.20 18:00;FOMC
2024.03.21 12:00;RATE
2024.04.05 12:30;NFP
2024.04.10 12:30;CPI
2024.04.11 13:15;RATE
2024.05.01 18:00;FOMC
2024.05.03 12:30;NFP
2024.05.08 12:30;CPI
